material,family,sigma_onset,sigma_stage3,ratio,T_onset,T_stage3,Ea_onset,Ea_stage3
8YSZ,fluorite,1.0177273526099573,21.2,20.830726368543296,1073,1497,0.85,0.46
8YSZ,fluorite,1.0177273526099573,26.3,25.841891674183433,1073,1547,0.85,0.46
8YSZ,fluorite,1.0177273526099573,30.8,30.26350812033649,1073,1614,0.85,0.46
8YSZ,fluorite,1.0177273526099573,35.1,34.488608279993855,1073,1683,0.85,0.46
8YSZ,fluorite,1.0177273526099573,39.2,38.517192153155534,1073,1749,0.85,0.46
8YSZ,fluorite,1.0177273526099573,43.3,42.545776026317206,1073,1822,0.85,0.46
8YSZ,fluorite,1.0177273526099573,47.6,46.77087618597458,1073,1862,0.85,0.46
8YSZ,fluorite,1.0177273526099573,51.8,50.89771820238409,1073,1923,0.85,0.46
TiO2,rutile,0.0031192595190921773,3.3,1057.94339323213,1373,1394,1.5,0.59
TiO2,rutile,0.0031192595190921773,2.6,833.5311583041024,1373,1333,1.5,0.59
TiO2,rutile,0.0031192595190921773,1.9,609.1189233760748,1373,1288,1.5,0.59
TiO2,rutile,0.0031192595190921773,2.1,673.2367047840827,1373,1241,1.5,0.59
TiO2,rutile,0.0031192595190921773,1.5,480.8833605600591,1373,1257,1.5,0.59
TiO2,rutile,0.0031192595190921773,1.2,384.70668844804726,1373,1169,1.5,0.59
TiO2,rutile,0.0031192595190921773,1.1,352.6477977440434,1373,1190,1.5,0.59
