filename,doi,material,paper_category
3YSZ Janssen.pdf,10.1016/j.jeurceramsoc.2017.02.044,3YSZ,INSUFFICIENT
3YSZ Wang.pdf,10.1016/j.jallcom.2018.02.308,3YSZ,REVIEW
8Y2O3 doped ZrO2 Yamamoto.pdf,10.2109/jcersj2.22009,8Y2O3 doped,THEORY
8YSZ TEM XRD Raman Jo.pdf,10.1111/jace.19915,8YSZ TEM,REVIEW
Al Kellog.pdf,10.1007/s10853-018-2207-6,Al Kellog,REVIEW
Al2O3-LaPO4 8YSZ-LaPO4 Mccartney.pdf,10.1111/jace.17786,Al2O3-LaPO4 8YSZ-LaPO4,ONSET_ONLY
Al2O3-Y3Al5O12-ZrO2 An.pdf,10.1016/j.scriptamat.2015.12.002,Al2O3-Y3Al5O12-ZrO2,INSUFFICIENT
Al2O3:TZP Steil.pdf,10.1016/j.jeurceramsoc.2015.02.033,Al2O3:TZP,FULL_DATA
Alumina Sglavo.pdf,10.1016/j.jeurceramsoc.2016.03.021,Alumina,THEORY
B4C Part 1 Todd.pdf,10.1016/j.ceramint.2024.05.250,B4C Part,REVIEW
B4C Part 2 Todd.pdf,10.1016/j.ceramint.2024.11.314,B4C Part,REVIEW
BaTiO3 SrTiO3 Garcia.pdf,10.1039/d4tc04433a,BaTiO3 SrTiO3,REVIEW
BaTiO3 Yamamoto.pdf,10.2109/jcersj2.20181,BaTiO3,THEORY
Badimele Thesis.pdf,,Thesis,INSUFFICIENT
Barium Titanate Lupascu.pdf,10.1002/adem.202300142,Barium Titanate,REVIEW
BiFeO3 RFS Perez Maqueda.pdf,10.1039/c7ta09239c,BiFeO3 RFS,THEORY
BiFeO3 Raj.pdf,10.1111/jace.14990,BiFeO3,FULL_DATA
CaCu3Ti4O12 M'Peko.pdf,10.1016/j.jallcom.2016.05.002,CaCu3Ti4O12 M'Peko,THEORY
Co2MnO4 spinel Raj.pdf,10.1016/j.jpowsour.2010.10.036,Co2MnO4 spinel,CONDUCTIVITY_ONLY
Debye temp Raj.pdf,10.1016/j.scriptamat.2019.05.030,Debye temp,REVIEW
Doped TiO2 Xu.pdf,10.1007/s10854-024-12518-3,Doped TiO2,REVIEW
Dopers ZnO Luo.pdf,10.1016/j.actamat.2019.10.009,Dopers ZnO,REVIEW
Fe2Val Nishino.pdf,10.1007/s11664-019-07743-0,Fe2Val,CONDUCTIVITY_ONLY
GDC Bran.pdf,10.1111/jace.17847,GDC,THEORY
Gd:Sm-Pr Co-Doped Ceria Sglavo.pdf,10.3390/ma12081218,Gd:Sm-Pr Co-Doped,REVIEW
Glass Flash Sintering Sglavo.pdf,10.1016/j.jnoncrysol.2017.09.024,Glass Flash,REVIEW
High entropy pyrochlore Raj.pdf,10.1111/jace.19505,High entropy,REVIEW
Incubation Kinetics Garcia.pdf,10.1038/s41524-020-00359-7,Incubation Kinetics,REVIEW
Irradiated YSZ Muccillo.pdf,10.1016/j.scriptamat.2019.06.004,Irradiated YSZ,ONSET_ONLY
K0.5Na0.5NbO3 Akdogan.pdf,10.1111/jace.18119,K0.5Na0.5NbO3,REVIEW
K0.5Na0.5NbO3 Raj.pdf,10.2109/jcersj2.124.P4-1,K0.5Na0.5NbO3,THEORY
KNN 2 Senos.pdf,10.3390/ma14051321,KNN,REVIEW
KNN Senos.pdf,10.1039/c9tc03117k,KNN,REVIEW
LLZO Huang.pdf,10.1007/s11581-024-06046-7,LLZO,FULL_DATA
LLZO RFS Raj.pdf,10.1111/jace.16625,LLZO RFS,FULL_DATA
LLZO Raj.pdf,10.1016/j.scriptamat.2019.06.038,LLZO,THEORY
La0.6Sr0.4CoO3 Kim.pdf,10.1021/acs.energyfuels.0c03147,La0.6Sr0.4CoO3,REVIEW
Li4Ti5O12 Xu.pdf,10.1111/jace.18086,Li4Ti5O12,REVIEW
MgAl2O4 RFS Raj.pdf,10.1111/jace.15974,MgAl2O4 RFS,REVIEW
MgAl2O4 Yoshida.pdf,10.1111/jace.14616,MgAl2O4,REVIEW
MgCoNiCuZnLiO Jia.pdf,10.3390/ma15113836,MgCoNiCuZnLiO,REVIEW
MgO-SiO2 -Al2 O3 Sglavo.pdf,10.1016/j.jeurceramsoc.2016.08.036,MgO-SiO2 -Al2,REVIEW
MnCo2O4 Sglavo.pdf,10.1016/j.jeurceramsoc.2014.02.012,MnCo2O4,REVIEW
NaNbO3.pdf,10.1016/j.matlet.2018.09.167,NaNbO3,CONDUCTIVITY_ONLY
Nb1:3Ta1:3Ti1:3N Cheng.pdf,10.1111/jace.17226,Nb1:3Ta1:3Ti1:3N,THEORY
Ni Badimele Raj.pdf,10.1111/jace.19735,Ni,REVIEW
Ni supplementary.pdf,10.1016/j.actamat.2020.02.036,Ni supplementary,INSUFFICIENT
Perovskite Wang.pdf,10.1016/j.actamat.2018.12.007,Perovskite,REVIEW
Phase syncrhonicity Raj .pdf,10.1111/JACE.16335,Phase syncrhonicity,REVIEW
Porcelain Sglavo.pdf,10.1111/jace.15162,Porcelain,REVIEW
Power Density at the Onset of Flash Sintering Raj.pdf,10.1111/jace.14178,Power Density,REVIEW
RFS Jalali_Bilayer.pdf,10.1111/jace.18804,RFS Jalali_Bilayer,REVIEW
Rhenium Raj 2.pdf,10.1007/s11661-024-07461-1,Rhenium,REVIEW
Rhenium Raj.pdf,,Rhenium,REVIEW
STRO Tsur.pdf,10.1016/j.jeurceramsoc.2016.07.037,STRO,THEORY
Sb2Te3 Nishino.pdf,10.1063/1.5041970,Sb2Te3,REVIEW
SiC ZrO2 Wang.pdf,10.1016/j.jeurceramsoc.2016.02.014,SiC ZrO2,REVIEW
SiO2 coated Barium titanate Wang.pdf,10.1016/j.scriptamat.2019.05.019,SiO2 coated,DIFFERENT_TECHNIQUE
SiO2 glass Sglavo.pdf,10.1016/j.jnoncrysol.2017.09.024,SiO2 glass,REVIEW
Sm2O3 doped CeO2 Jiang.pdf,10.1016/j.scriptamat.2018.09.014,Sm2O3 doped,FULL_DATA
SrFe12O19 Perejon.pdf,10.1016/j.jallcom.2022.166203,SrFe12O19,REVIEW
SrTiO2 and KNbO3 Raj.pdf,10.1016/j.scriptamat.2016.03.001,SrTiO2 and,REVIEW
Strontium Hexaferrite Touch Free Perez-Maqueda Raj.pdf,10.1111/jace.19389,Strontium Hexaferrite,REVIEW
Technique Yamamoto.pdf,10.2320/matertrans.MT-Y2023003,Technique,REVIEW
TiO2 Interface Resistance Jo.pdf,10.1111/jace.70034,TiO2 Interface,REVIEW
TiO2 Shikhar_Titania_2014.pdf,10.1111/jace.12682,TiO2 Shikhar_Titania_2014,REVIEW
TiO2 Yadav.pdf,10.1111/jace.18798,TiO2 Yadav,REVIEW
UO2 McClellan.pdf,10.1016/j.jnucmat.2017.06.022,UO2,REVIEW
Urania McClellan.pdf,10.1016/j.jnucmat.2018.03.049,Urania,THEORY
W Raj.pdf,10.1111/jace.19532,W,REVIEW
