#,Material,Family,beta,k_soft,Ea(eV),sigma_0(S/m),r_eff(um),T_onset(K),T_pred(K),Error%,E(V/cm),J_crit(A/mm²),J_calc(mA/mm²),DOI
1,"(La,Ta)-TiO2",oxide,1.4,0.25,1.5,1000.0,13.0,1373,1373.0,-0.0,300.0,,0.09,10.1007/s10854-024-12518-3
2,(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,pyrochlore,1.41,0.25,0.5,1.0,22.5,1323,1323.0,-0.0,150.0,,0.19,10.1111/jace.19505
6,(Nb1/3Ta1/3Ti1/3)N,nitride,0.34,0.82,0.2,100.0,339.3,1123,1123.0,-0.0,32.0,,40.51,10.1111/jace.17226
7,(ZrO₂)₀.₈(CeO₂)₀.₂,fluorite,1.38,0.26,0.8,10000.0,10.4,1473,1473.0,-0.0,250.0,,457.81,10.1111/jace.18426
8,3YSZ,fluorite,1.38,0.26,1.0,25000.0,35.2,1123,1123.0,0.0,120.0,,9.75,10.1111/j.1551-2916.2010.04089.x
9,3YSZ-Al₂O₃ (50:50),composite,1.38,0.26,0.8,10000.0,15.5,1573,1573.0,0.0,150.0,,410.06,10.1016/j.jeurceramsoc.2014.04.043
10,3YSZ-Sinterforging (5 MPa),fluorite,1.38,0.26,1.0,500000.0,38.6,1148,1148.0,-0.0,100.0,,203.59,10.1016/j.jeurceramsoc.2012.02.030
11,8YSZ,oxide,1.4,0.25,0.85,10000.0,41.3,1073,1073.0,0.0,100.0,,10.17,10.1111/jace.18804
12,Al₂O₃-3YSZ (50:50),oxide_composite,1.35,0.28,1.0,7000.0,24.1,1348,1348.0,-0.0,150.0,,19.16,10.1111/jace.14178
13,GDC10,oxide,1.4,0.25,0.8,100.0,77.8,1373,1373.0,0.0,50.0,,0.58,10.1111/jace.17847
14,Gd:Sm-Pr-CeO2,oxide,1.4,0.25,0.6,200.0,85.3,998,998.0,0.0,50.0,,0.93,10.3390/ma12081218
16,KNN,perovskite,1.5,0.2,0.5,10.0,64.6,1173,1173.0,-0.0,50.0,,0.36,10.1111/jace.18119
17,MgAl2O4,spinel,1.34,0.29,0.7,10.0,37.9,1423,1423.0,-0.0,100.0,,0.33,10.1111/jace.15974
18,MgAl2O4,spinel,1.34,0.29,0.5,1000.0,5.7,673,673.0,-0.0,750.0,,13.51,10.1016/j.jeurceramsoc.2019.03.005
19,MgAl2O4,spinel,1.34,0.29,0.5,1000.0,4.2,673,673.0,-0.0,1000.0,,18.01,10.1016/j.jeurceramsoc.2019.03.005
20,MgO-doped Al₂O₃,corundum,1.32,0.3,0.7,200.0,4.0,1533,1533.0,-0.0,1000.0,,99.92,10.1016/j.jeurceramsoc.2011.07.004
21,MnCo2O4,spinel,1.34,0.29,0.2,100000.0,825.6,423,423.0,-0.0,10.0,,414.03,10.1016/j.jeurceramsoc.2014.02.012
24,NaNbO3,perovskite,1.5,0.2,0.8,1000.0,7.2,1283,1283.0,-0.0,400.0,,28.8,10.1016/j.matlet.2018.09.167
25,NaNbO3,perovskite,1.5,0.2,0.8,1000.0,5.7,1249,1249.0,-0.0,500.0,,29.57,10.1016/j.matlet.2018.09.167
26,NaNbO3,perovskite,1.5,0.2,0.8,1000.0,4.9,1189,1189.0,-0.0,600.0,,24.38,10.1016/j.matlet.2018.09.167
27,NaNbO3,perovskite,1.5,0.2,0.8,1000.0,4.3,1135,1135.0,-0.0,700.0,,19.62,10.1016/j.matlet.2018.09.167
