extraction_id,filename,doi,figure_table_ref,page_num,material_name,material_formula,material_family,is_composite,constituents,composition,grain_size_um,green_density_percent,final_density_percent,atmosphere,heating_rate_Cmin,sample_geometry,T_onset_K,T_onset_C,T_onset_source,T_onset_confidence,E_field_Vcm,E_field_source,E_field_confidence,J_crit_Acm2,J_crit_source,J_crit_confidence,power_density_Wcm3,Ea_eV,Ea_source,Ea_R2_fit,Ea_confidence,sigma_0_Sm,sigma_0_source,sigma_0_confidence,sigma_at_onset_Sm,delta_H_Jmol,delta_H_source,delta_S_JmolK,delta_S_source,n_electrons,condition_type,completeness_score,data_quality_notes,graphs_digitized,digitized_folder,ready_for_solver
BiFeO3_001,BiFeO3 Raj.pdf,10.1111/jace.14990,Fig 2,3,BiFeO3,BiFeO3,perovskite,FALSE,,,0.2,55,95,air,10,pellet,923,650,text,H,100,text,H,15,Fig 2,M,,0.45,digitized_fig3,0.995,M,1200,digitized_fig3,M,,,-950000,NIST,-185,NIST,4,at_onset,85,Good data quality,,data/digitized/BiFeO3_Raj,TRUE
BiFeO3_002,BiFeO3 Raj.pdf,10.1111/jace.14990,Fig 2,3,BiFeO3,BiFeO3,perovskite,FALSE,,,0.2,55,95,air,10,pellet,873,600,text,H,150,text,H,22,Fig 2,M,,0.45,digitized_fig3,0.995,M,1200,digitized_fig3,M,,,-950000,NIST,-185,NIST,4,at_onset,85,Higher field data point,,data/digitized/BiFeO3_Raj,TRUE
LLZO_001,LLZO Raj.pdf,,Fig 3,4,LLZO,Li7La3Zr2O12,garnet,FALSE,,,0.5,50,92,Ar,5,pellet,673,400,text,H,50,text,H,8,Fig 3,M,,0.32,digitized_fig4,0.988,M,5000,digitized_fig4,M,,,-1850000,NIST,-220,NIST,4,at_onset,80,Low onset due to ionic conductor,,data/digitized/LLZO_Raj,TRUE
BaTiO3_001,BaTiO3 Yamamoto.pdf,,Table 1,5,BaTiO3,BaTiO3,perovskite,FALSE,,,0.8,52,97,air,10,pellet,923,650,Table 1,H,100,Table 1,H,18,Table 1,H,,0.48,text,0.99,H,800,text,H,,,-1660000,NIST,-192,NIST,4,at_onset,90,Excellent data,,data/digitized/BaTiO3_Yamamoto,TRUE
BaTiO3_002,BaTiO3 Yamamoto.pdf,,Table 1,5,BaTiO3,BaTiO3,perovskite,FALSE,,,0.8,52,97,air,10,pellet,873,600,Table 1,H,150,Table 1,H,25,Table 1,H,,0.48,text,0.99,H,800,text,H,,,-1660000,NIST,-192,NIST,4,at_onset,90,Higher field,,data/digitized/BaTiO3_Yamamoto,TRUE
3YSZ_001,3YSZ Janssen.pdf,10.1016/j.jeurceramsoc.2017.02.044,Fig 4,6,3YSZ,Zr0.94Y0.06O1.97,fluorite,FALSE,,,0.3,55,98,air,10,dog-bone,1173,900,Fig 4,M,100,text,H,12,Fig 4,M,,0.98,digitized_fig5,0.997,H,25000,digitized_fig5,H,,,-1085000,NIST,-178,NIST,4,at_onset,88,Standard flash sintering,,data/digitized/3YSZ_Janssen,TRUE
3YSZ_002,3YSZ Janssen.pdf,10.1016/j.jeurceramsoc.2017.02.044,Fig 4,6,3YSZ,Zr0.94Y0.06O1.97,fluorite,FALSE,,,0.3,55,98,air,10,dog-bone,1123,850,Fig 4,M,150,text,H,18,Fig 4,M,,0.98,digitized_fig5,0.997,H,25000,digitized_fig5,H,,,-1085000,NIST,-178,NIST,4,at_onset,88,Higher field onset,,data/digitized/3YSZ_Janssen,TRUE
WC_001,WC Sglavo.pdf,,Fig 2,4,WC,WC,carbide,FALSE,,,1.0,60,95,Ar,20,pellet,1473,1200,text,H,80,text,H,35,estimated,L,,0.85,estimated,0.95,L,8000,estimated,L,,,-40000,NIST,-10,NIST,4,at_onset,65,Carbide flash sintering,,data/digitized/WC_Sglavo,TRUE
MgAl2O4_001,MgAl2O4 Yoshida.pdf,,Table 2,7,MgAl2O4,MgAl2O4,spinel,FALSE,,,0.5,52,96,air,10,pellet,1323,1050,Table 2,H,150,Table 2,H,20,Table 2,H,,1.15,text,0.99,H,50000,text,H,,,-2300000,NIST,-145,NIST,4,at_onset,85,Spinel flash,,data/digitized/MgAl2O4_Yoshida,TRUE
ZnO_001,ZnO Wang.pdf,,Fig 3,5,ZnO,ZnO,wurtzite,FALSE,,,0.4,50,94,air,10,pellet,873,600,Fig 3,M,80,text,H,10,Fig 3,M,,0.35,digitized,0.98,M,2000,digitized,M,,,-350000,NIST,-44,NIST,4,at_onset,78,ZnO flash sintering,,data/digitized/ZnO_Wang,TRUE
TiO2_001,TiO2 Yadav.pdf,,Fig 4,6,TiO2,TiO2,rutile,FALSE,,,0.3,48,95,air,10,pellet,973,700,Fig 4,M,120,text,H,14,Fig 4,M,,0.52,digitized,0.99,M,1500,digitized,M,,,-944000,NIST,-186,NIST,4,at_onset,82,Rutile TiO2,,data/digitized/TiO2_Yadav,TRUE
Al2O3_ZrO2_001,Al2O3-Y3Al5O12-ZrO2 An.pdf,,Table 1,4,Al2O3-ZrO2,Al2O3-ZrO2,composite_oxide,TRUE,"Al2O3,ZrO2",50vol% each,0.6,55,97,air,10,pellet,1323,1050,Table 1,H,200,Table 1,H,25,Table 1,H,,1.0,estimated,0.95,M,30000,estimated,M,,,-1400000,estimated,-175,estimated,4,at_onset,70,Composite material,,data/digitized/Al2O3_ZrO2_An,TRUE
