Family,Material,k_soft,beta,alpha_res,gamma,r_eff_um,Ea,sigma_0,error_pct,n
perovskite,KNN,0.18,1.54,0.6,1.4,40.8,0.48,138.57142857142858,12.3,7
perovskite,NaNbO3,0.21,1.47,0.168,1.4,0.7,0.8,1000.0,0.9,4
perovskite,SrTiO3-Fe,0.12,1.64,0.2,1.4,10.0,0.0,1000.0,75.8,3
perovskite,SrTiO₃ (undoped),0.12,1.64,0.369,1.4,0.0,0.59,331.57142857142856,13.8,7
perovskite,SrTi₁₋ₓFeₓO₃₋δ,0.12,1.64,0.2,1.4,10.0,0.63,3000.0,73.3,1
perovskite,BiFeO3,0.23,1.45,0.6,1.4,47.5,0.5,837.5,22.6,4
perovskite,BaTiO3,0.22,1.47,0.6,1.4,60.9,0.7,505.0,0.0,2
spinel,MgAl2O4,0.29,1.32,0.6,1.8,7.5,0.57,670.0,5.9,3
spinel,MnCo2O4,0.27,1.36,0.6,1.8,10000.0,0.2,100000.0,41.2,3
spinel,MgAl2O4 (High-T),0.29,1.32,0.6,1.8,6.1,1.04,120.0,3.9,5
spinel,Co2MnO4,0.27,1.36,0.6,1.8,87.0,0.25,5050.0,23.0,2
spinel,LTO (Li4Ti5O12),0.25,1.4,0.6,1.8,31.0,0.27,8666.666666666666,4.0,3
carbide,WC,0.83,0.31,0.018,1.2,0.0,0.66,3050.0,5.4,6
carbide,α-SiC,0.84,0.31,0.01,1.2,0.0,0.9,10000.0,13.4,1
carbide,B4C,0.84,0.3,0.236,1.2,12.9,0.99,412.5,60.3,4
metal,Ni,0.73,0.5,0.016,1.2,9.9,0.3,100000.0,0.0,1
metal,Re,0.73,0.5,0.01,1.2,0.0,0.28,500.0,27.5,1
metal,W,0.73,0.5,0.016,1.2,9.9,0.3,100000.0,0.0,1
oxide,"(La,Ta)-TiO2",0.25,1.4,0.275,2.0,17.8,1.5,1000.0,0.0,1
oxide,8YSZ,0.26,1.38,0.6,2.0,47.2,0.85,10000.0,0.0,1
oxide,GDC10,0.17,1.55,0.2,2.0,10.0,0.8,100.0,0.0,1
oxide,Gd:Sm-Pr-CeO2,0.17,1.55,0.2,2.0,10.0,0.6,200.0,0.0,1
oxide,Porous-SiO2,0.21,1.49,0.2,2.0,10.0,0.7,1.0,65.6,1
oxide,SDC (Sm₂O₃-doped CeO₂),0.17,1.55,0.092,2.0,9.3,0.5,20000.0,0.0,1
oxide,TiO₂ (Single Crystal),0.25,1.4,0.6,2.0,10000.0,0.55,100.0,0.0,2
oxide,ZnO,0.27,1.38,0.169,2.0,9.7,0.3,1000.0,0.0,1
glass,Porous-SiO2,0.21,1.49,0.2,1.5,10.0,0.7,667.0,67.4,3
