filename,doi,year,first_author,title,paper_category,technique_used,has_onset_data,has_conductivity,has_thermodynamics,materials_list,num_conditions,is_applicable,screening_notes
3YSZ Janssen.pdf,10.1016/j.jeurceramsoc.2017.02.044,2017,,Journal of the European Ceramic Society 37 (2017) 2901–2905 Contents lists available at www.sciencedirect.com,INSUFFICIENT,DC_FLASH,TRUE,FALSE,FALSE,3YSZ,0,FALSE,
3YSZ Wang.pdf,10.1016/j.jallcom.2018.02.308,2018,,JournalofAlloysandCompounds747(2018)1073e1077 ContentslistsavailableatScienceDirect Journal of Alloys and Compounds,REVIEW,REVIEW,TRUE,TRUE,FALSE,3YSZ,0,FALSE,
8Y2O3 doped ZrO2 Yamamoto.pdf,10.2109/jcersj2.22009,,,JournaloftheCeramicSocietyofJapan130[4]327-3302022 - A rst attempt of automated shrinkage-rate control ash sintering,THEORY,SIMULATION,TRUE,FALSE,FALSE,8Y2O3 doped,1,FALSE,Found temps: [870]
8YSZ TEM XRD Raman Jo.pdf,10.1111/jace.19915,,,"Flash-induced defects in single-crystal 8YSZ characterized by TEM, XRD, and Raman spectroscopy SeohyeonJo1 MoritzKindelmann2,4,5 DylanJennings2,4 Luca",REVIEW,REVIEW,TRUE,FALSE,FALSE,8YSZ TEM,0,FALSE,
Al Kellog.pdf,10.1007/s10853-018-2207-6,,,J Mater Sci (2018) 53:9297–9304 Sintering aluminum alloy powder using direct current electric fields at room temperature in seconds,REVIEW,REVIEW,TRUE,TRUE,FALSE,Al Kellog,0,FALSE,
Al2O3-LaPO4 8YSZ-LaPO4 Mccartney.pdf,10.1111/jace.17786,,,Flash sintering produces eutectic microstructures in Al O – LaPO versus conventional microstructures in 8YSZ–L aPO,ONSET_ONLY,DC_FLASH,TRUE,FALSE,FALSE,Al2O3-LaPO4 8YSZ-LaPO4,4,TRUE,"Found temps: [780, 1100, 1110, 1450]"
Al2O3-Y3Al5O12-ZrO2 An.pdf,10.1016/j.scriptamat.2015.12.002,2015,,ScriptaMaterialia114(2016)108–111 ContentslistsavailableatScienceDirect journal homepage: www.elsevier.com/locate/scriptamat,INSUFFICIENT,DC_FLASH,TRUE,FALSE,FALSE,Al2O3-Y3Al5O12-ZrO2,0,FALSE,
Al2O3:TZP Steil.pdf,10.1016/j.jeurceramsoc.2015.02.033,2015,,Available online at www.sciencedirect.com Journal of the European Ceramic Society 35 (2015) 2587–2592,FULL_DATA,DC_FLASH,TRUE,TRUE,FALSE,Al2O3:TZP,1,TRUE,Found temps: [900]
Alumina Sglavo.pdf,10.1016/j.jeurceramsoc.2016.03.021,2016,,Journal of the European Ceramic Society 36 (2016) 2535–2542 Contents lists available at www.sciencedirect.com,THEORY,SIMULATION,TRUE,TRUE,FALSE,Alumina,0,FALSE,
B4C Part 1 Todd.pdf,10.1016/j.ceramint.2024.05.250,2024,,CeramicsInternational50(2024)37241–37250 Contents lists available at ScienceDirect Ceramics International,REVIEW,REVIEW,TRUE,FALSE,FALSE,B4C Part,0,FALSE,
B4C Part 2 Todd.pdf,10.1016/j.ceramint.2024.11.314,2024,,Ceramics International 51 (2025) 3370–3382 ContentslistsavailableatScienceDirect Ceramics International,REVIEW,REVIEW,TRUE,FALSE,FALSE,B4C Part,0,FALSE,
BaTiO3 SrTiO3 Garcia.pdf,10.1039/d4tc04433a,,,"Materials Chemistry C High performance BaTiO –SrTiO ceramics with refined microstructure obtained Cite this: J. Mater. Chem. C, 2025, by current-contr",REVIEW,REVIEW,FALSE,TRUE,FALSE,BaTiO3 SrTiO3,0,FALSE,
BaTiO3 Yamamoto.pdf,10.2109/jcersj2.20181,2018,,JournaloftheCeramicSocietyofJapan128[12]1018-10232020 - Flash sintering for BaTiO with square alternating current eld,THEORY,SIMULATION,TRUE,FALSE,FALSE,BaTiO3,1,FALSE,Found temps: [1000]
Badimele Thesis.pdf,,,,(cid:16)(cid:21)(cid:11)(cid:28)(cid:18)(cid:1)(cid:28)(cid:19)(cid:23)(cid:29)(cid:15)(cid:27)(cid:19)(cid:23)(cid:17)(cid:1)(cid:29)(cid:15)(cid:13),INSUFFICIENT,DC_FLASH,FALSE,FALSE,FALSE,Thesis,0,FALSE,
Barium Titanate Lupascu.pdf,10.1002/adem.202300142,2023,,Flash and Breakdown: Thermal Runaway and Dielectric Breakdown as Competing Mechanisms During Flash Sintering of Barium Titanate,REVIEW,REVIEW,TRUE,TRUE,FALSE,Barium Titanate,0,FALSE,
BiFeO3 RFS Perez Maqueda.pdf,10.1039/c7ta09239c,,,"Materials Chemistry A Phase-pure BiFeO produced by reaction ash- sintering of Bi O and Fe O Citethis:J.Mater.Chem.A,2018,6,",THEORY,SIMULATION,TRUE,TRUE,FALSE,BiFeO3 RFS,0,FALSE,
BiFeO3 Raj.pdf,10.1111/jace.14990,,,"Flash sintering of highly insulating nanostructured phase-pure Luis A. Perez-Maqueda1,2 | Eva Gil-Gonzalez1 | Antonio Perejon1,3 |",FULL_DATA,SPS,TRUE,TRUE,FALSE,BiFeO3,1,TRUE,Found temps: [300]
CaCu3Ti4O12 M'Peko.pdf,10.1016/j.jallcom.2016.05.002,2016,,JournalofAlloysandCompounds682(2016)753e758 ContentslistsavailableatScienceDirect Journal of Alloys and Compounds,THEORY,SIMULATION,TRUE,TRUE,FALSE,CaCu3Ti4O12 M'Peko,0,FALSE,
Co2MnO4 spinel Raj.pdf,10.1016/j.jpowsour.2010.10.036,2010,,JournalofPowerSources196 (2011) 2061–2065 ContentslistsavailableatScienceDirect Journal of Power Sources,CONDUCTIVITY_ONLY,OTHER,TRUE,TRUE,FALSE,Co2MnO4 spinel,0,FALSE,
Debye temp Raj.pdf,10.1016/j.scriptamat.2019.05.030,2019,,ScriptaMaterialia170(2019)81–84 ContentslistsavailableatScienceDirect journal homepage: www.elsevier.com/locate/scriptamat,REVIEW,REVIEW,TRUE,FALSE,FALSE,Debye temp,0,FALSE,
Doped TiO2 Xu.pdf,10.1007/s10854-024-12518-3,,,J Mater Sci: Mater Electron (2024) 35:758 Effect of limited current on ultrarapid densification and giant dielectric properties of flash sintering (La,REVIEW,REVIEW,TRUE,FALSE,FALSE,Doped TiO2,1,FALSE,Found temps: [1100]
