filename,doi,material,paper_category,completeness_score,T_onset_C,T_confidence,E_field_Vcm,E_confidence,has_arrhenius_plot,is_applicable,needs_digitization,technique_used,extraction_notes
3YSZ Janssen.pdf,10.1016/j.jeurceramsoc.2017.02.044,3YSZ,INSUFFICIENT,25,,,"75, 100, 2000",H,False,False,False,DC_FLASH,
3YSZ Wang.pdf,10.1016/j.jallcom.2018.02.308,3YSZ,REVIEW,55,,,95,H,True,False,False,REVIEW,
8Y2O3 doped ZrO2 Yamamoto.pdf,10.2109/jcersj2.22009,8Y2O3 doped,THEORY,50,870,H,50,H,False,False,False,SIMULATION,Found temps: [870]
8YSZ TEM XRD Raman Jo.pdf,10.1111/jace.19915,8YSZ TEM,REVIEW,25,,,25,H,False,False,False,REVIEW,
Al Kellog.pdf,10.1007/s10853-018-2207-6,Al Kellog,REVIEW,55,,,"56, 150, 205, 330, 1000",H,True,False,False,REVIEW,
Al2O3-LaPO4 8YSZ-LaPO4 Mccartney.pdf,10.1111/jace.17786,Al2O3-LaPO4 8YSZ-LaPO4,ONSET_ONLY,50,"780, 1100, 1110, 1450",H,"250, 850, 935, 950, 980",H,False,True,False,DC_FLASH,"Found temps: [780, 1100, 1110, 1450]"
Al2O3-Y3Al5O12-ZrO2 An.pdf,10.1016/j.scriptamat.2015.12.002,Al2O3-Y3Al5O12-ZrO2,INSUFFICIENT,25,,,"495, 1000",H,False,False,False,DC_FLASH,
Al2O3:TZP Steil.pdf,10.1016/j.jeurceramsoc.2015.02.033,Al2O3:TZP,FULL_DATA,80,900,M,"100, 130, 200, 2250",H,True,True,True,DC_FLASH,Found temps: [900]
Alumina Sglavo.pdf,10.1016/j.jeurceramsoc.2016.03.021,Alumina,THEORY,55,,,"250, 500, 750, 1000, 1500",H,True,False,False,SIMULATION,
B4C Part 1 Todd.pdf,10.1016/j.ceramint.2024.05.250,B4C Part,REVIEW,25,,,"25, 350, 500",H,False,False,False,REVIEW,
B4C Part 2 Todd.pdf,10.1016/j.ceramint.2024.11.314,B4C Part,REVIEW,25,,,"25, 200, 280, 350, 500",H,False,False,False,REVIEW,
BaTiO3 SrTiO3 Garcia.pdf,10.1039/d4tc04433a,BaTiO3 SrTiO3,REVIEW,30,,,,,True,False,False,REVIEW,
BaTiO3 Yamamoto.pdf,10.2109/jcersj2.20181,BaTiO3,THEORY,50,1000,H,"100, 140, 150, 200, 258",H,False,False,False,SIMULATION,Found temps: [1000]
Badimele Thesis.pdf,,Thesis,INSUFFICIENT,0,,,,,False,False,False,DC_FLASH,
Barium Titanate Lupascu.pdf,10.1002/adem.202300142,Barium Titanate,REVIEW,55,,,"1500, 1800",H,True,False,False,REVIEW,
BiFeO3 RFS Perez Maqueda.pdf,10.1039/c7ta09239c,BiFeO3 RFS,THEORY,55,,,"25, 50, 100",H,True,False,False,SIMULATION,
BiFeO3 Raj.pdf,10.1111/jace.14990,BiFeO3,FULL_DATA,80,300,M,"15, 50, 100, 150, 300",H,True,True,True,SPS,Found temps: [300]
CaCu3Ti4O12 M'Peko.pdf,10.1016/j.jallcom.2016.05.002,CaCu3Ti4O12 M'Peko,THEORY,55,,,"10, 15, 30, 60",H,True,False,False,SIMULATION,
Co2MnO4 spinel Raj.pdf,10.1016/j.jpowsour.2010.10.036,Co2MnO4 spinel,CONDUCTIVITY_ONLY,55,,,"10, 25, 60",H,True,False,True,OTHER,
Debye temp Raj.pdf,10.1016/j.scriptamat.2019.05.030,Debye temp,REVIEW,25,,,"100, 500, 2000, 5000",H,False,False,False,REVIEW,
Doped TiO2 Xu.pdf,10.1007/s10854-024-12518-3,Doped TiO2,REVIEW,50,1100,H,"300, 800",M,False,False,False,REVIEW,Found temps: [1100]
Dopers ZnO Luo.pdf,10.1016/j.actamat.2019.10.009,Dopers ZnO,REVIEW,80,"600, 628, 680, 689, 740",H,"100, 300, 800",H,True,False,False,REVIEW,"Found temps: [600, 628, 680, 689, 740, 742, 1005]"
Fe2Val Nishino.pdf,10.1007/s11664-019-07743-0,Fe2Val,CONDUCTIVITY_ONLY,30,,,,,True,False,True,DC_FLASH,
GDC Bran.pdf,10.1111/jace.17847,GDC,THEORY,80,1400,H,"50, 70, 90, 100, 150",H,True,False,False,SIMULATION,Found temps: [1400]
Gd:Sm-Pr Co-Doped Ceria Sglavo.pdf,10.3390/ma12081218,Gd:Sm-Pr Co-Doped,REVIEW,55,,,50,H,True,False,False,REVIEW,
Glass Flash Sintering Sglavo.pdf,10.1016/j.jnoncrysol.2017.09.024,Glass Flash,REVIEW,80,"600, 690",H,"1000, 2000, 3000",H,True,False,False,REVIEW,"Found temps: [600, 690]"
High entropy pyrochlore Raj.pdf,10.1111/jace.19505,High entropy,REVIEW,25,1050,H,,,False,False,False,REVIEW,Found temps: [1050]
Incubation Kinetics Garcia.pdf,10.1038/s41524-020-00359-7,Incubation Kinetics,REVIEW,55,,,"60, 90, 120",H,True,False,False,REVIEW,
Irradiated YSZ Muccillo.pdf,10.1016/j.scriptamat.2019.06.004,Irradiated YSZ,ONSET_ONLY,50,850,H,150,H,False,True,False,DC_FLASH,Found temps: [850]
K0.5Na0.5NbO3 Akdogan.pdf,10.1111/jace.18119,K0.5Na0.5NbO3,REVIEW,50,1175,M,"18, 50, 100",H,False,False,False,REVIEW,Found temps: [1175]
K0.5Na0.5NbO3 Raj.pdf,10.2109/jcersj2.124.P4-1,K0.5Na0.5NbO3,THEORY,50,"320, 870, 900, 1000",H,"50, 100, 150, 185, 250",H,False,False,False,SIMULATION,"Found temps: [320, 870, 900, 1000]"
KNN 2 Senos.pdf,10.3390/ma14051321,KNN,REVIEW,55,,,300,H,True,False,False,REVIEW,
KNN Senos.pdf,10.1039/c9tc03117k,KNN,REVIEW,25,,,"100, 250, 400",H,False,False,False,REVIEW,
LLZO Huang.pdf,10.1007/s11581-024-06046-7,LLZO,FULL_DATA,80,700,H,90,M,True,True,True,SPS,Found temps: [700]
LLZO RFS Raj.pdf,10.1111/jace.16625,LLZO RFS,FULL_DATA,80,682,H,"30, 40, 50",H,True,True,True,SPS,Found temps: [682]
LLZO Raj.pdf,10.1016/j.scriptamat.2019.06.038,LLZO,THEORY,80,850,M,20,H,True,False,False,SIMULATION,Found temps: [850]
La0.6Sr0.4CoO3 Kim.pdf,10.1021/acs.energyfuels.0c03147,La0.6Sr0.4CoO3,REVIEW,0,,,,,False,False,False,REVIEW,
Li4Ti5O12 Xu.pdf,10.1111/jace.18086,Li4Ti5O12,REVIEW,0,,,,,False,False,False,REVIEW,
MgAl2O4 RFS Raj.pdf,10.1111/jace.15974,MgAl2O4 RFS,REVIEW,80,"621, 820, 950, 1000",H,"100, 120, 300, 500, 600",H,True,False,False,REVIEW,"Found temps: [621, 820, 950, 1000]"
MgAl2O4 Yoshida.pdf,10.1111/jace.14616,MgAl2O4,REVIEW,80,"400, 1300, 1350, 1408, 1410",H,"300, 750, 1000",H,True,False,False,REVIEW,"Found temps: [400, 1300, 1350, 1408, 1410]"
MgCoNiCuZnLiO Jia.pdf,10.3390/ma15113836,MgCoNiCuZnLiO,REVIEW,55,,,"50, 278, 625, 2250",H,True,False,False,REVIEW,
MgO-SiO2 -Al2 O3 Sglavo.pdf,10.1016/j.jeurceramsoc.2016.08.036,MgO-SiO2 -Al2,REVIEW,55,,,"500, 750, 1000, 1250, 1500",H,True,False,False,REVIEW,
MnCo2O4 Sglavo.pdf,10.1016/j.jeurceramsoc.2014.02.012,MnCo2O4,REVIEW,80,"200, 210, 1000, 1050, 1160",H,"10, 18",H,True,False,False,REVIEW,"Found temps: [200, 210, 1000, 1050, 1160]"
NaNbO3.pdf,10.1016/j.matlet.2018.09.167,NaNbO3,CONDUCTIVITY_ONLY,55,,,"400, 600, 700",M,True,False,True,SPS,
Nb1:3Ta1:3Ti1:3N Cheng.pdf,10.1111/jace.17226,Nb1:3Ta1:3Ti1:3N,THEORY,55,,,"32, 1000",M,True,False,False,SIMULATION,
Ni Badimele Raj.pdf,10.1111/jace.19735,Ni,REVIEW,30,,,,,True,False,False,REVIEW,
