Family,k_soft,alpha_res,gamma,scale,r_eff_avg,n
actinide-oxide,0.168,0.03,1.8,1.1,260.45300256008585,3
carbide,0.8366363636363636,0.01,1.2,1.5,90911.74754035502,11
composite,0.264,0.47,2.0,2.8,19.209020854614934,2
corundum,0.298,0.8,1.8,1.4,5.3455211987034845,7
ferrite,0.271,0.19,1.8,1.0,30.440585124077455,1
fluorite,0.23852,0.8,2.0,0.67,40040.92832384341,25
garnet,0.248,0.8,1.6,1.44,23.287981988979315,5
glass,0.206,0.2,1.5,1.0,999989.6527711833,3
glass_ceramic,0.206,0.2,1.5,2.3,9.70303134807683,4
high_entropy_oxide,0.259,0.3,1.8,0.3,333573.2284416314,3
metal,0.734,0.01,1.2,1.7,341.02742357119786,3
nitride,0.819,0.01,1.6,0.44,500011.24653296045,2
oxide,0.22344444444444445,0.8,2.0,1.0,111245.72145569563,9
oxide_composite,0.298,0.35,2.0,0.96,30.27403371601843,1
perovskite,0.17214285714285715,0.8,1.4,0.65,142886.53256600004,28
pyrochlore,0.25,0.3,1.8,0.5,999989.6527711833,1
rutile,0.25725,0.8,1.8,0.68,38.55845865663592,4
spinel,0.2800625,0.5,1.8,0.8,63902.964348740374,16
wurtzite,0.266,0.64,1.5,3.7,32.73797161928737,7
