#,Material,Family,Ea(eV),sigma_0(S/m),r_eff(um),T_start(K),T_onset(K),E(V/cm),J_crit(A/mm²),J_calc(mA/mm²),J_limit(mA/mm²),T_pred(K),Error%,DOI,d50_nm,green_density_pct,heating_rate_Cmin,Tm_K,Eg_eV,Ef_eV,T_Tm
3,"(Mg,Co,Ni,Cu,Zn)1-xLixO",high_entropy_oxide,0.3,10000.0,999989.6527711832,298,298,625.0,,5.27,50.0,250.0,,10.3390/ma15113836,,,,1728,0.0,1.4,0.1724537037037037
4,"(Mg,Co,Ni,Cu,Zn)1-xLixO",high_entropy_oxide,0.3,10000.0,365.0162768554297,298,298,278.0,,2.35,50.0,250.0,,10.3390/ma15113836,,,,1728,0.0,1.4,0.1724537037037037
5,"(Mg,Co,Ni,Cu,Zn)1-xLixO",high_entropy_oxide,0.3,10000.0,365.0162768554297,298,298,50.0,,0.42,50.0,250.0,,10.3390/ma15113836,,,,1728,0.0,1.4,0.1724537037037037
45,TiO₂ (Single Crystal),oxide,0.55,100.0,365.0162768554297,300,300,450.0,,,20.0,250.0,,10.1111/jace.18798,900.0,,,2500,3.0,4.0,0.12
46,TiO₂ (Single Crystal),oxide,0.55,100.0,365.0162768554297,300,300,500.0,,,20.0,250.0,,10.1111/jace.18798,900.0,,,2500,3.0,4.0,0.12
47,UO₂,actinide-oxide,0.2,100000.0,365.0162768554297,300,300,187.0,,816.32,50.0,250.0,,10.1016/j.jnucmat.2017.06.022,,55.0,,2500,3.0,4.0,0.12
39,SrTiO3-Fe,perovskite,0.0,1000.0,999989.6527711832,1371,1371,140.0,,,50.0,250.0,,10.1016/j.actamat.2018.12.007,20.0,87.6,,2353,3.2,6.0,0.5826604334891627
40,SrTiO3-Fe,perovskite,0.0,1000.0,999989.6527711832,1251,1251,140.0,,,50.0,250.0,,10.1016/j.actamat.2018.12.007,20.0,87.6,,2353,3.2,6.0,0.5316617084572886
41,SrTiO3-Fe,perovskite,0.0,1000.0,999989.6527711832,1127,1127,140.0,,,50.0,250.0,,10.1016/j.actamat.2018.12.007,20.0,87.6,,2353,3.2,6.0,0.4789630259243519
33,Porous-SiO2,oxide,0.7,1.0,999989.6527711832,873,873,3000.0,,0.03,60.0,250.0,,10.1016/j.jnoncrysol.2017.09.024,100.0,,,1986,9.0,7.0,0.4395770392749245
133,Porous-SiO2,glass,0.9,1000.0,999989.6527711832,873,873,3000.0,,1.9,60.0,250.0,,10.1016/j.jnoncrysol.2017.09.024,100.0,,,1986,9.0,7.0,0.4395770392749245
134,Porous-SiO2,glass,0.9,1000.0,999989.6527711832,973,973,2500.0,,5.43,60.0,250.0,,10.1016/j.jnoncrysol.2017.09.024,100.0,,,1986,9.0,7.0,0.4899295065458207
135,Porous-SiO2,glass,0.3,1.0,999989.6527711832,923,923,2750.0,,6.32,60.0,250.0,,10.1016/j.jnoncrysol.2017.09.024,100.0,,,1986,9.0,7.0,0.4647532729103726
15,Irradiated-YSZ,fluorite,0.5,1.0,999989.6527711832,1133,1133,150.0,,0.09,40.0,250.0,,10.1016/j.scriptamat.2019.06.004,,,,2988,5.0,5.5,0.3791834002677376
