# Stage 3 / Steady-State Conductivity Data Extracted from Flash Sintering Papers
# This data captures conductivity DURING flash (Stage III) - not just at onset
# 
# Source Papers:
# 1. Raj 2012 (Joule Heating) - 8YSZ steady-state under current control
# 2. Jha & Raj 2014 (TiO2) - Post-flash steady-state conductivity
# 3. Gaur & Sglavo 2014 (MnCo2O4) - Specimen temperatures during flash
#
Material,Family,DOI,T_furnace_K,T_specimen_K,E_onset_Vcm,E_stage3_Vcm,J_limit_mAmm2,sigma_onset_Sm,sigma_stage3_Sm,rho_stage3_Ohmcm,P_stage3_mWmm3,Ea_stage3_eV,Notes
# ============================================================================
# 8YSZ - Raj 2012 (Joule Heating) Table 1 - Dense sample under current control
# These are EXACT measurements during Stage III steady-state
# ============================================================================
8YSZ,fluorite,10.1016/j.jeurceramsoc.2012.02.030,1148,1497,100,8.8,19,,21.2,4.71,16.7,0.46,Table 1 - T measured by thermal expansion
8YSZ,fluorite,10.1016/j.jeurceramsoc.2012.02.030,1148,1547,100,13.6,36,,26.3,3.80,49.0,0.46,Table 1 - T measured by thermal expansion
8YSZ,fluorite,10.1016/j.jeurceramsoc.2012.02.030,1148,1614,100,17.4,54,,30.8,3.25,93.96,0.46,Table 1 - T measured by thermal expansion
8YSZ,fluorite,10.1016/j.jeurceramsoc.2012.02.030,1148,1683,100,20.4,72,,35.1,2.85,146.9,0.46,Table 1 - T measured by thermal expansion
8YSZ,fluorite,10.1016/j.jeurceramsoc.2012.02.030,1148,1749,100,22.6,89,,39.2,2.55,201.1,0.46,Table 1 - T measured by thermal expansion
8YSZ,fluorite,10.1016/j.jeurceramsoc.2012.02.030,1148,1822,100,24.2,105,,43.3,2.31,254.1,0.46,Table 1 - T measured by thermal expansion
8YSZ,fluorite,10.1016/j.jeurceramsoc.2012.02.030,1148,1862,100,25.1,120,,47.6,2.10,301.2,0.46,Table 1 - T measured by thermal expansion
8YSZ,fluorite,10.1016/j.jeurceramsoc.2012.02.030,1148,1923,100,26.4,137,,51.8,1.93,361.7,0.46,Table 1 - T measured by thermal expansion
# ============================================================================
# 3YSZ Sinterforging - Raj 2012 - Figure 3 steady-state
# ============================================================================
3YSZ,fluorite,10.1016/j.jeurceramsoc.2012.02.030,1148,1398,100,,40,,,,,Pyrometer T - steady state 125 mW/mm3
# ============================================================================
