#,Material,Family,T(K),E(V/cm),J(mA/mm²),Type,Ea(eV),sigma_0(S/m),Notes,DOI,Paper
1,Al2O3:TZP,,0,0,0,?,0,0,T context: rted ﬂash  sintering  of  zirconia  obtained  at  ...,10.1016/j.jeurceramsoc.2015.02.033,
2,Al2O3:TZP,,0,0,0,?,0,0,T context: s  were  measured  by  impedance spectroscopy at  ...,10.1016/j.jeurceramsoc.2015.02.033,
3,Al2O3:TZP,,0,0,0,?,0,0,T context:   35  s  incubation time  is  observed  at  T0 =  ...,10.1016/j.jeurceramsoc.2015.02.033,
4,Al2O3:TZP,,0,0,0,?,0,0,T context: e  0;  20  and  40  vol.%  alumina  samples;  at  ...,10.1016/j.jeurceramsoc.2015.02.033,
5,Al2O3:TZP,,0,0,0,?,0,0,T context: pre-heating  temperatures  were  900;  1000  and  ...,10.1016/j.jeurceramsoc.2015.02.033,
6,Al2O3:TZP,,0,0,0,?,0,0,T context:  by  conventional  sintering  (10 ◦C/min  up  to  ...,10.1016/j.jeurceramsoc.2015.02.033,
7,Alumina,,0,0,0,?,0,0,T context: h  sintering  (FS);  in  fact; decreases  by  120–...,10.1016/j.jeurceramsoc.2016.03.021,
8,Alumina,,0,0,0,?,0,0,T context: h  sintering  (FS);  in  fact; decreases  by  120–...,10.1016/j.jeurceramsoc.2016.03.021,
9,Alumina,,0,0,0,?,0,0,T context:  interpolating  the  experimental  data  over  a  ...,10.1016/j.jeurceramsoc.2016.03.021,
10,Alumina,,0,0,0,?,0,0,T context: electrodes  the sintering  temperature  is about  ...,10.1016/j.jeurceramsoc.2016.03.021,
11,Alumina,,0,0,0,?,0,0,T context: electrodes  the sintering  temperature  is about  ...,10.1016/j.jeurceramsoc.2016.03.021,
12,Alumina,,0,0,0,?,0,0,T context: mA  power  supply;  when  the  sam- ple  reached  ...,10.1016/j.jeurceramsoc.2016.03.021,
13,Alumina,,0,0,0,?,0,0,T context: mA  power  supply;  when  the  sam- ple  reached  ...,10.1016/j.jeurceramsoc.2016.03.021,
14,Alumina,,0,0,0,?,0,0,T context: ased  with  the  applied  E-ﬁeld  even  down  to ≈...,10.1016/j.jeurceramsoc.2016.03.021,
15,Alumina,,0,0,0,?,0,0,T context: ased  with  the  applied  E-ﬁeld  even  down  to ≈...,10.1016/j.jeurceramsoc.2016.03.021,
16,Alumina,,0,0,0,?,0,0,T context:  V/cm;  when  the  material  sinters  at  around  ...,10.1016/j.jeurceramsoc.2016.03.021,
17,Alumina,,0,0,0,?,0,0,T context:  V/cm;  when  the  material  sinters  at  around  ...,10.1016/j.jeurceramsoc.2016.03.021,
18,Alumina,,0,0,0,?,0,0,T context: 00  V/cm);  sinter at  temperatures  lower  than  ...,10.1016/j.jeurceramsoc.2016.03.021,
19,Alumina,,0,0,0,?,0,0,T context: 00  V/cm);  sinter at  temperatures  lower  than  ...,10.1016/j.jeurceramsoc.2016.03.021,
20,Alumina,,0,0,0,?,0,0,T context:   carried  out  at  lower temperature  (usually  <...,10.1016/j.jeurceramsoc.2016.03.021,
21,Alumina,,0,0,0,?,0,0,T context: mina was  successfully  ﬂash  sintered  down  to  ...,10.1016/j.jeurceramsoc.2016.03.021,
22,Alumina,,0,0,0,?,0,0,T context: mina was  successfully  ﬂash  sintered  down  to  ...,10.1016/j.jeurceramsoc.2016.03.021,
23,Alumina,,0,0,0,?,0,0,T context: using  a  radio- tracer  at  high  temperature  (>...,10.1016/j.jeurceramsoc.2016.03.021,
24,Alumina,,0,0,0,?,0,0,T context: igh  temperature;  becoming  predominant  around  ...,10.1016/j.jeurceramsoc.2016.03.021,
25,Alumina,,0,0,0,?,0,0,T context: 3+ diffusion;  even  at  high  temperature  (1000–...,10.1016/j.jeurceramsoc.2016.03.021,
26,B4C,,0,0,0,?,0,0,T context: d if SPS is conducted at elevated temperatures  (>...,10.1016/j.ceramint.2024.05.250,
27,B4C,,0,0,0,?,0,0,T context: d if SPS is conducted at elevated temperatures  (>...,10.1016/j.ceramint.2024.05.250,
28,B4C,,0,0,0,?,0,0,T context: up to 350 V/cm) at  temperatures between 1000 and ...,10.1016/j.ceramint.2024.05.250,
29,B4C,,0,0,0,?,0,0,T context: up to 350 V/cm) at  temperatures between 1000 and ...,10.1016/j.ceramint.2024.05.250,
30,B4C,,0,0,0,?,0,0,T context: C if a field of 40 V/cm is applied [8]; which is ≈...,10.1016/j.ceramint.2024.11.314,
31,B4C,,0,0,0,?,0,0,T context: 15 W/mm3) and environmental temperatures of up to ...,10.1016/j.ceramint.2024.11.314,
32,B4C,,0,0,0,?,0,0,T context: ducted in argon (Ar; 99.998 % pure; <5 vpm O2) at ...,10.1016/j.ceramint.2024.11.314,
33,B4C,,0,0,0,?,0,0,T context: ducted in argon (Ar; 99.998 % pure; <5 vpm O2) at ...,10.1016/j.ceramint.2024.11.314,
34,B4C,,0,0,0,?,0,0,T context: ducted in argon (Ar; 99.998 % pure; <5 vpm O2) at ...,10.1016/j.ceramint.2024.11.314,
35,B4C,,0,0,0,?,0,0,T context: ducted in argon (Ar; 99.998 % pure; <5 vpm O2) at ...,10.1016/j.ceramint.2024.11.314,
36,B4C,,0,0,0,?,0,0,T context: se. SiC shows a rapid increase in current around ≈...,10.1016/j.ceramint.2024.11.314,
37,B4C,,0,0,0,?,0,0,T context: ting carbides at low environmental temperatures (<...,10.1016/j.ceramint.2024.11.314,
38,B4C,,0,0,0,?,0,0,T context: pts to FS SiC [8] with a low furnace temperature (...,10.1016/j.ceramint.2024.11.314,
39,B4C,,0,0,0,?,0,0,T context: eved 88 % RD with an environmental temperature of ...,10.1016/j.ceramint.2024.11.314,
40,B4C,,0,0,0,?,0,0,T context: e results showed that at a furnace temperature of ...,10.1016/j.ceramint.2024.11.314,
41,BaTiO3,,0,0,0,?,0,0,T context: i.e.; a ﬂash event; at a constant heating rate of ...,10.2109/jcersj2.20181,
42,BaTiO3,,0,0,0,?,0,0,T context: i.e.; a ﬂash event; at a constant heating rate of ...,10.2109/jcersj2.20181,
43,BaTiO3,,0,0,0,?,0,0,T context: ing current; with conditions of 60 mA; 15 min and ...,10.2109/jcersj2.20181,
44,BaTiO3,,0,0,0,?,0,0,T context: ing current; with conditions of 60 mA; 15 min and ...,10.2109/jcersj2.20181,
45,BaTiO3,,0,0,0,?,0,0,T context: ing current; with conditions of 60 mA; 15 min and ...,10.2109/jcersj2.20181,
46,BaTiO3,,0,0,0,?,0,0,T context: ing current; with conditions of 60 mA; 15 min and ...,10.2109/jcersj2.20181,
47,BaTiO3,,0,0,0,?,0,0,T context: ycrystal was obtained at a furnace temperature of ...,10.2109/jcersj2.20181,
48,BaTiO3,,0,0,0,?,0,0,T context: ycrystal was obtained at a furnace temperature of ...,10.2109/jcersj2.20181,
49,BaTiO3,,0,0,0,?,0,0,T context: ycrystal was obtained at a furnace temperature of ...,10.2109/jcersj2.20181,
50,BaTiO3,,0,0,0,?,0,0,T context: ycrystal was obtained at a furnace temperature of ...,10.2109/jcersj2.20181,
51,BaTiO3,,0,0,0,?,0,0,T context: transformation temperature is decreased to around ...,10.2109/jcersj2.20181,
52,BaTiO3,,0,0,0,?,0,0,T context: transformation temperature is decreased to around ...,10.2109/jcersj2.20181,
53,BaTiO3,,0,0,0,?,0,0,T context: exists around 1460 °C.11) This transformation temp...,10.2109/jcersj2.20181,
54,BaTiO3,,0,0,0,?,0,0,T context: exists around 1460 °C.11) This transformation temp...,10.2109/jcersj2.20181,
